paper_id,title,first_author,authors,norm_title,norm_first_author
b217f4d41dbbf18758616c30cf2ac15f,A Wireless Sensor and Energy Harvester Complex Based on P(Vdf-Trfe) Piezoelectric and Electromagnetic Synergies,Yingjuan Yan,Yingjuan Yan; Weimin Xia; Lu Wang; Hong Pan; Xiaofang Zhang; Yinghui Wang; Ronghao Yang; Zhicheng Zhang,a wireless sensor and energy harvester complex based on pvdftrfe piezoelectric and electromagnetic synergies,yingjuan yan
8594f0befa61daa180cd85074f6a8369,"AI Driven Strategic Decision-Making in IT Project Management: Enhancing Risk Assessment, Cost Control, and Efficiency",Sakhawat Hussain Tanim,Sakhawat Hussain Tanim; Md Sabbir Ahmad,ai driven strategic decisionmaking in it project management enhancing risk assessment cost control and efficiency,sakhawat tanim
b27f7c682265ea2fa473fb4f04bbf6dc,AI and Spectrum Management: Navigating the Complexities of the Ka Band in the Age of Satellite Internet,Ed Koellner,Ed Koellner,ai and spectrum management navigating the complexities of the ka band in the age of satellite internet,ed koellner
25ea5b03de6e5103582eceaa4be27c62,AMENDING REGULATION D'S ACCREDITED-INVESTOR DEFINITION TO ALLOW NATURAL PERSONS TO OPT OUT OF UNWANTED REGULATORY PROTECTIONS,John Orcutt,John Orcutt,amending regulation ds accreditedinvestor definition to allow natural persons to opt out of unwanted regulatory protections,john orcutt
e602b593f73e0cdf1afc29010213fd04,Accounting Profit in  < Corporate <  Profit Taxation: A Critical Examination of Norms and Contexts,Kuan Hua Phua,Kuan Hua Phua,accounting profit in   corporate   profit taxation a critical examination of norms and contexts,kuan phua
c22c41d1fc512b82732e591fc9e3f5ce,Affordable Housing Cooperatives as Shared Equity Homeownership: An Expanded View of Organizational Law,Hughes Jerome,Hughes Jerome,affordable housing cooperatives as shared equity homeownership an expanded view of organizational law,hughes jerome
6d61cdfba1bfba2e7f3d084565c7d68d,Agents Among Us: Navigating the Rise of Embedded AI in Society,Sunando Roy,Sunando Roy,agents among us navigating the rise of embedded ai in society,sunando roy
777c74e7f61d6e6b155f70050ccb9ccd,An Update on the Capital One/Discover Merger: Is There a Subprime Market for Credit Cards?,Todd J. Zywicki,Todd J. Zywicki; Stakeholder,an update on the capital onediscover merger is there a subprime market for credit cards,todd zywicki
676878568fa93fd32a92ba93060b7aae,An empirical investigation on waqf governance practices in waqf institutions in Malaysia,Muhammad Iqmal Hisham Kamaruddin,Muhammad Iqmal Hisham Kamaruddin; Nur Syazwani Mohamed Nasrudin; Mustafa Mohd Hanefah,an empirical investigation on waqf governance practices in waqf institutions in malaysia,muhammad kamaruddin
98a22f35bed436c0107af0142fa9e0cc,Anti-Constitutional Rivals,Kevin Frazier,Kevin Frazier,anticonstitutional rivals,kevin frazier
643565462692a20d43f8dd71dce3735e,Artificial Intelligence and Entrepreneurial Finance: A Guide for Research,Lars Hornuf,Lars Hornuf; Matthias Mattusch,artificial intelligence and entrepreneurial finance a guide for research,lars hornuf
6a4ff0cbc95add77af438545fe2c5945,Assessing Firm-level Climate Policy Transition Risk with AI: Evidence from China's Online Investor Interactive Platforms,You Zhang,You Zhang; Yuqi Li; Yushu Zhu; Grace C Hsu,assessing firmlevel climate policy transition risk with ai evidence from chinas online investor interactive platforms,you zhang
b2f04b82e7f37047d0ea3236ddccdaae,Assessing the Effect of High Biaxial Solar Tracker on Wheat Photosynthesis,Clémentine INGHELS,Clémentine INGHELS; Paul-Emile NOIROT-COSSON; Thomas KICHEY; Annie GUILLER,assessing the effect of high biaxial solar tracker on wheat photosynthesis,clementine inghels
c1bf5fda9aff6585716e56f3a3faa273,Assessing the impact of corporate entrepreneurship in the financial performance of subsidiaries of Colombian business groups: under environmental dynamism moderation,Antonio Rodríguez-Peña,Antonio Rodríguez-Peña,assessing the impact of corporate entrepreneurship in the financial performance of subsidiaries of colombian business groups under environmental dynamism moderation,antonio rodriguez-pena
ff3723593ce902ce4ef7ed4ebcb93215,Auditing the Mark-to-Model: Evidence from Revisions of Standards in Fixed-Income Mutual Funds,Brian Bratten,Brian Bratten; Wenyin Li; Quan Qi,auditing the marktomodel evidence from revisions of standards in fixedincome mutual funds,brian bratten
d4c80c925e574a64ea1a12f2e2e588dd,BEYOND THE CLASSROOM: LEVERAGING DIGITAL ENTREPRENEURSHIP EDUCATION FOR YOUTH EMPOWERMENT IN NIGERIA AND AFRICA,Felix O. Idowu,Felix O. Idowu,beyond the classroom leveraging digital entrepreneurship education for youth empowerment in nigeria and africa,felix idowu
083bd17ffcefbed4f72a6ecec37d5f70,BOARD CHARACTERISTICS AND AUDIT QUALITY OF LISTED FIRMS IN NIGERIA: THE MODERATING ROLE OF AUDIT COMMITTEE GENDER,Onipe Adabenege Yahaya,Onipe Adabenege Yahaya; Ebele Elsie Edochie; Onipe Adabenege Yahaya; Samuel Gambo Joshua,board characteristics and audit quality of listed firms in nigeria the moderating role of audit committee gender,onipe yahaya
dc5c638dfae2562e009d5548c73534c5,"BOARD SIZE AND CAPITAL STRUCTURE OF LISTED SERVICES FIRMS IN NIGERIA, MODERATED BY FIRM LISTING AGE",Onipe Adabenege Yahaya,Onipe Adabenege Yahaya; Safiya Onozare Usman; Mohammed Nma Ahmed; Suleiman Tauhid,board size and capital structure of listed services firms in nigeria moderated by firm listing age,onipe yahaya
64ef5874b43e00068fecfa79ead8cc0f,Balancing < Stakeholder <  Objectives in the Water-Energy-Food Nexus Through Dimension Reduction and Multi-Actor Decision Strategies,Daniel Peña-Torres,Daniel Peña-Torres; Marianne Boix; Ludovic Montastruc,balancing  stakeholder   objectives in the waterenergyfood nexus through dimension reduction and multiactor decision strategies,daniel pena-torres
5acbf2c6b12cea29f685f2041934953f,Benchmark Discrepancies in the Chinese < Mutual <  Fund Market,Rolf Poulsen,Rolf Poulsen; Xiaomeng Liu; There are 2 versions of this paper; Victoria Sidoti (she/they); Harvard Law School • Program on Corporate Governance; pcgmanager@corpgov.law.harvard.edu  • 617 496-,benchmark discrepancies in the chinese  mutual   fund market,rolf poulsen
036ab7389f64d21de92be0f7b3fe858b,Best Practices and Challenges in Integrating  < ESG <  Factors into Corporate Governance,Ayesha Khanum,Ayesha Khanum; Jyotirmoy Banerjee,best practices and challenges in integrating   esg   factors into corporate governance,ayesha khanum
fe9ed63ef0977db6fa48964e974e4905,Best Practices and Challenges in Integrating ESG Factors into  < Corporate <  Governance,Ayesha Khanum,Ayesha Khanum; Jyotirmoy Banerjee,best practices and challenges in integrating esg factors into   corporate   governance,ayesha khanum
bd80cc260d1149a21a323e1106b0e1e8,Best Practices and Challenges in Integrating ESG Factors into Corporate Governance,Ayesha Khanum,Ayesha Khanum; Jyotirmoy Banerjee,best practices and challenges in integrating esg factors into corporate governance,ayesha khanum
ecc3b773ee01412f6805292010056929,Betting on My Enemy: Insider Trading Ahead of Hedge Fund 13D Filings,Truong X. Duong,Truong X. Duong; Shaoting Pi; Travis Sapp,betting on my enemy insider trading ahead of hedge fund 13d filings,truong duong
a1f0817c8888f986e6251b827752962d,Bibliometric Analysis of  < Corporate <  Strategy and Digital Transformation Literature,Aditya Ramadana,Aditya Ramadana; Raden Aswin Rahadi,bibliometric analysis of   corporate   strategy and digital transformation literature,aditya ramadana
940fd3319cbddb899fa643658df0ebc6,Biodiversity Risk and Debt Choice,Han Wang,Han Wang,biodiversity risk and debt choice,han wang
e202701a796952c4de4ec3931ea36a0f,Biological Impacts of Eichhornia crassipes Invasion of Lake Chad on Fish Nutrition and Aquatic Biodiversity Performance,Alexis DZOKOM,Alexis DZOKOM; Darman Roger Djoulde,biological impacts of eichhornia crassipes invasion of lake chad on fish nutrition and aquatic biodiversity performance,alexis dzokom
f9f425a98f50a964f75c95af97857dd8,Board Gender Diversity and Earnings Quality,Onipe Adabenege Yahaya,Onipe Adabenege Yahaya,board gender diversity and earnings quality,onipe yahaya
e2a28ed2f442da8203d9ff904e2785e5,"Book review - Breaking the Cycle: From Tribunals to True Transformation Book: Arendt, Hannah. Eichmann in Jerusalem: A Report on the Banality of Evil. Rev. and enl. ed. London: Penguin Books, 1994. Print. (first published in the United States of America by the Viking Press, 1963)",Beny Saputra,Beny Saputra,book review  breaking the cycle from tribunals to true transformation book arendt hannah eichmann in jerusalem a report on the banality of evil rev and enl ed london penguin books 1994 print first published in the united states of america by the viking press 1963,beny saputra
c012bd1b7a6e33be971d3de487707472,Bridging the Audit Expectation Gap: The Auditor's Role in High-Corruption Environments,Bambang Setiono,Bambang Setiono; Seng Hansen,bridging the audit expectation gap the auditors role in highcorruption environments,bambang setiono
abc41a6b6177bc8af8e9e7dce511ade1,Business and Social Responsibility - Discourse,Tsvi N. Reiss,Tsvi N. Reiss,business and social responsibility  discourse,tsvi reiss
9009da5343204df1899544150e791eea,"Buy Now, Pay Later: AI Usage, Inherent Tensions, and Implications for Retailers, BNPL Providers, and Governments Forthcoming in Management and Business Review",Chandan Behera,Chandan Behera; Vivek Astvansh; Praveen K. Kopalle,buy now pay later ai usage inherent tensions and implications for retailers bnpl providers and governments forthcoming in management and business review,chandan behera
9671a655b5f35e7a46a8847e512e9137,CEO Remuneration and Corporate Conflicts,Qaiser Rafique Yasser,Qaiser Rafique Yasser,ceo remuneration and corporate conflicts,qaiser yasser
065c66f1e79167d331a3c07406df5cd8,CORPORATE TRANSPARENCY ACT -WHERE ARE WE? AND DO WE CARE?,Herrick K. Lidstone,Herrick K. Lidstone,corporate transparency act where are we and do we care,herrick lidstone
834968a39deeb13c2779a9f7550d9a32,CORRECTED COPY OF SEMINAR PAPER,Ebiegberi Zidafamor,Ebiegberi Zidafamor,corrected copy of seminar paper,ebiegberi zidafamor
59dd57cbd70d66a7195780698f6288ce,Can Monetary Policy Affect Firms' Labor Income Shares? -Evidence from Chinese Listed Companies,Zhangyao Li,Zhangyao Li; Zikai Chang; Xin Liu,can monetary policy affect firms labor income shares evidence from chinese listed companies,zhangyao li
93895cdeef381ada3085fc549fe8ca3f,Capital Market Fragmentation and Economic Value Migration How Europe's Financial System Promotes Wealth Transfer to the U.S,Bjoern Holste,Bjoern Holste; Mattias Bergström,capital market fragmentation and economic value migration how europes financial system promotes wealth transfer to the us,bjoern holste
407423c715e5cb025567e5d122394a74,Carbon Offsetting and Firm Emitting Behaviour,Gbenga Adamolekun,Gbenga Adamolekun,carbon offsetting and firm emitting behaviour,gbenga adamolekun
bb1cdb8b9557277c9ff92f23ad4702c3,Catching Crypto Trends; A Tactical Approach for Bitcoin and Altcoins,Carlo Zarattini,Carlo Zarattini; Alberto Pagani; Andrea Barbon,catching crypto trends a tactical approach for bitcoin and altcoins,carlo zarattini
d690d2c3ec5f12801653f627151dc0b4,Central Consumer Protection Authority: A Study of Its Working,Priyanshu Raj Giri,Priyanshu Raj Giri,central consumer protection authority a study of its working,priyanshu giri
c0c6304617f59b2a645f4f9550894b9b,Cfo Integrity and Earnings Management,Chuntao Li,Chuntao Li; Gang W,cfo integrity and earnings management,chuntao li
bb0837d7569f110aa62d85423c1c1da6,Chancery Court Dismisses Challenge to Removal of Tag-Along Rights in Healthcare Merger,,,chancery court dismisses challenge to removal of tagalong rights in healthcare merger,
39863773e9e2c5f7e73586e09d3b6d8e,Climate Boards: Do Natural Disaster Experiences Make Directors More Prosocial?,Sehoon Kim,Sehoon Kim; Bernadette Minton; Rohan Williamson,climate boards do natural disaster experiences make directors more prosocial,sehoon kim
5583d30b4e89b684f1acd0115d424dbb,Climate Change Disinformation On Social Media: A Meta-Synthesis on Epistemic Welfare in the Post-Truth Era,Essien Essien,Essien Essien,climate change disinformation on social media a metasynthesis on epistemic welfare in the posttruth era,essien essien
6ee78167b0c22c322d87dca27341ee0d,Climate Lies & Unjust Profits,Vanessa Casado Pérez,Vanessa Casado Pérez; Yotam Kaplan; Yael R. Lifshitz; Niv Meyerson,climate lies  unjust profits,vanessa perez
5bab93c40c40cfdd1f0f451f803841fc,Climate Risk and Opportunity Awareness and Financial Constraints: The Moderating Role of Global Climate Risk,Kamran Shafique,Kamran Shafique; Syed Shams; Sudipta Bose; Pappu Kumar Dey,climate risk and opportunity awareness and financial constraints the moderating role of global climate risk,kamran shafique
9c47478c9acc981d89a27fdd7a878459,Climate Security and Governance: The Impact of Environmental Change on Regional Stability in India,Manisha Sharma,Manisha Sharma; Corporate,climate security and governance the impact of environmental change on regional stability in india,manisha sharma
43fafac8090865f5d21d2a2c28c4a3a8,Close-Range Docking Control for Reconfigurable Ground Vehicles: Model-Guided Reinforcement Learning with Robust Predictive Safety Filter,Xu Yang,Xu Yang; Jun Ni; Hangjie Cen; Tiezhen Wang; Yuxuan Zhang,closerange docking control for reconfigurable ground vehicles modelguided reinforcement learning with robust predictive safety filter,xu yang
c66e199978830f4d229f00f61f9b9a09,"Color Me Blue: Politics, Climate Performance, and Incentives",Mia L. Rivolta,Mia L. Rivolta; Kristina Minnick; Laurie Krigman; Syed Shams; Sudipta Bose,color me blue politics climate performance and incentives,mia rivolta
2d1271154b5d8851e9299d3de342cdc0,Conformity Between Values and EU Legal Requirements Regarding an AI Clinical Decision Support System (AI-CDSS) for Improved Cardiovascular Risk Management (DECIDE),Maria Villalobos-Quesada,Maria Villalobos-Quesada; Tycho de Graaf; André Krom; Sara Colombo; Myrthe van de Pavert; Maaike Harbers; J.H. (Jan) van Staalduinen; Ildiko Vajda; Tijs Portegies; Niels H. Chavannes,conformity between values and eu legal requirements regarding an ai clinical decision support system aicdss for improved cardiovascular risk management decide,maria villalobos-quesada
ad9977479211539a4204379ecc5f2a99,Connectivity and Boundaries of Climate-Related Disclosures in Annual Reports,Prerana Agrawal,Prerana Agrawal; Lyndie Bayne; Niclas Hellman; Marvin Wee; Marvin Wee; There are 3 versions of this paper,connectivity and boundaries of climaterelated disclosures in annual reports,prerana agrawal
68c61a22cfafa1fdbc61dec0d6a2c457,Constraint of real earnings management with mediating role of cash holdings: Evidence from US and China,Dr. Israfil .,Dr. Israfil .; Dr Hameeda Akhtar,constraint of real earnings management with mediating role of cash holdings evidence from us and china,dr. .
a2012cf191b0e68f2ac7403b3573b0b7,Contesting Digital Sovereignty: Untangling a Complex and Multifaceted Concept,Min Jiang,Min Jiang; Luca Belli,contesting digital sovereignty untangling a complex and multifaceted concept,min jiang
89614a3569241b4143f30dd3e87e6aae,"Contract Farming with Technology Provision: Quality, Profitability, and the Role of Government Subsidies",Jinxin Yang,Jinxin Yang; Haotian Song; Weihua Zhou,contract farming with technology provision quality profitability and the role of government subsidies,jinxin yang
5311950fcd296f55758ff93870d626a3,Corporate <  Constitutionalism for Foreign Private Issuers,James Chang,James Chang; Sidney Burke,corporate   constitutionalism for foreign private issuers,james chang
1443099fdac90bf5174acbafc1ec51a0,Corporate <  Digital Responsibility Dividend: Ethical Practices and Product Market Performance,Weijie Tan,Weijie Tan; Yuzhao Ren; Xihui Haviour Chen,corporate   digital responsibility dividend ethical practices and product market performance,weijie tan
b056345f1acad67d86c4df54155f50ae,Corporate <  ESG Rating Prediction Based on Xgboost-Shap Interpretable Machine Learning Model,Zhang Jianfeng,Zhang Jianfeng; Zhao Zexin,corporate   esg rating prediction based on xgboostshap interpretable machine learning model,zhang jianfeng
9ed9787d94136b173052431a1969ad7d,"Corporate <  Finance Practices in the Oil and Gas Exploration Industry: Financing, Dividends, and ESG Considerations",Yihan Wang,Yihan Wang,corporate   finance practices in the oil and gas exploration industry financing dividends and esg considerations,yihan wang
b7b2c5dad73817f9ca4380b2eea270f6,Corporate <  Finance Risks: Ponzi scheme,Rebecca Borisade,Rebecca Borisade,corporate   finance risks ponzi scheme,rebecca borisade
2a3a52c939d949d8b1d60017a0f6ef5f,Corporate <  Income Tax Assessments and Product Price Discounts,Jaewoo Kim,Jaewoo Kim; Ryan J. Wilson; Yucheng (John) Yang; Shi Xu,corporate   income tax assessments and product price discounts,jaewoo kim
65a6b7f89678bf46cdb33bb4350114f8,Corporate <  Social Advocacy and Stakeholder Reaction the Impacts of Csa Substantiveness and Signaler Distance,Jegoo Lee,Jegoo Lee; Joon Kim; Won-Ki Moon,corporate   social advocacy and stakeholder reaction the impacts of csa substantiveness and signaler distance,jegoo lee
001ff9f0bbc9a9c2165f4a639548a7db,Corporate <  entrepreneurship and firm performance relationship under the moderating effect of environmental dynamism: Replication and extension analysis,Antonio Rodríguez-Peña,Antonio Rodríguez-Peña,corporate   entrepreneurship and firm performance relationship under the moderating effect of environmental dynamism replication and extension analysis,antonio rodriguez-pena
46a54f130b6ff9ee6b251029388021cc,Corporate < ESG <  Rating Prediction Based on Xgboost-Shap Interpretable Machine Learning Model,Zhang Jianfeng,Zhang Jianfeng; Zhao Zexin,corporate  esg   rating prediction based on xgboostshap interpretable machine learning model,zhang jianfeng
09e1eeb299798c6bc3cfb193f59bc276,Corporate Actions as Moral Issues,Zwetelina Iliewa,Zwetelina Iliewa; Elisabeth Kempf; Oliver G. Spalt; ESG,corporate actions as moral issues,zwetelina iliewa
ba93a4fc0bf826eb5b2f38131bbfe818,"Corporate Biodiversity Risk Exposure, Investment, and Equity Financing",Uyen Dinh Hoang Nguyen,Uyen Dinh Hoang Nguyen; There are 2 versions of this paper,corporate biodiversity risk exposure investment and equity financing,uyen nguyen
8a6095093e0db158f34e9311519f3fb9,Corporate Constitutionalism for Foreign Private Issuers,James Chang,James Chang; Sidney Burke; Merger,corporate constitutionalism for foreign private issuers,james chang
35ca042b05fb0767c42d7fa8e1408cf0,"Corporate Finance Practices in the Oil and Gas Exploration Industry: Financing, Dividends, and ESG Considerations",Yihan Wang,Yihan Wang; Delaware,corporate finance practices in the oil and gas exploration industry financing dividends and esg considerations,yihan wang
4bd797df7422c86b7f9977b167221e95,Corporate Social Advocacy and Stakeholder Reaction the Impacts of Csa Substantiveness and Signaler Distance,Jegoo Lee,Jegoo Lee; Joon Kim; Won-Ki Moon,corporate social advocacy and stakeholder reaction the impacts of csa substantiveness and signaler distance,jegoo lee
1e6aa4885fb42c6dead4a68017d332ab,Corporate Waqf: Discovering the Primary Challenges,Haslinda Yusoff,Haslinda Yusoff; Muhammad Iqmal Hisham Kamaruddin; Nurul Aini Muhamed,corporate waqf discovering the primary challenges,haslinda yusoff
455e55ab7ebca310c4b2479df2af7bc6,Corporations,Jedidiah J. Kroncke,Jedidiah J. Kroncke; Michael Riegner,corporations,jedidiah kroncke
730f61a9966134ba1561cc8dda46084c,Creating a New Model for Technology Commercialization in the Canadian Context,Andrew Maxwell,Andrew Maxwell,creating a new model for technology commercialization in the canadian context,andrew maxwell
81ffd797a6b7e4c41635f8a1f5760b70,Cross Trading in the Corporate Bond Market,Lina Han,Lina Han; Stacey E. Jacobsen; Jayoung Nam; Veronika Krepely Pool; Institutional Investors,cross trading in the corporate bond market,lina han
56eca6e47f4ef450ba54e30bdc2a1183,Cross-Border Mobility of Companies in the European Union: Current Legal Framework and Persistent Barriers,Paolo Tullio,Paolo Tullio,crossborder mobility of companies in the european union current legal framework and persistent barriers,paolo tullio
8c3b05c400e209ba1313ee63c2498626,"Csa Across Countries: The Roles of Fit, Authenticity, Legitimacy and Culture",Anli Xiao,Anli Xiao; Luke Capizzo; Yu Chen; Fritz Cropp,csa across countries the roles of fit authenticity legitimacy and culture,anli xiao
72ceed74a4ad715324c4a52f9e264e58,Cultural Hypocrisy and Regulatory Betrayal: A Catalyst for Harsher Penalties,Balbinder Singh Gill,Balbinder Singh Gill; Kose John,cultural hypocrisy and regulatory betrayal a catalyst for harsher penalties,balbinder gill
9997c523bb6100e624a9df616a698a27,"Cyprus: Laiki Bank Ad Hoc Emergency Liquidity Assistance, 2011",Stella Schaefer-Brown,Stella Schaefer-Brown,cyprus laiki bank ad hoc emergency liquidity assistance 2011,stella schaefer-brown
b3a986d3d5eddea4b633d54ba71f03a3,Data Protection Regulations 2021 “Adequacy” Roadmap To International Transfer Of Electoral Data In Kenya,Timothy Ayuo,Timothy Ayuo; Directors,data protection regulations 2021 adequacy roadmap to international transfer of electoral data in kenya,timothy ayuo
0f747563ff333d84e6d792538c5f4bda,Decentralized Bank Network and Corporate Innovation,Lu Yang,Lu Yang; Xiao Wanting,decentralized bank network and corporate innovation,lu yang
b9d9ebaf3b68784f1bbed0b2131b36c8,Decentralized Traffic Management,Jones Lejo,Jones Lejo; Raghu P; Kusumanjali S; Kokila M B; Harshada G; Directors,decentralized traffic management,jones lejo
df0f15fe4ee2de3331ea016db8316764,Democracy as a Competitive Discovery Process,Nick Cowen,Nick Cowen; Aris Trantidis; Eric S. Schliesser,democracy as a competitive discovery process,nick cowen
332c0bafb6fd03cbb2f2342278612acd,Democracy on Sale?  < Corporate <  Campaign Finance in Brazil and the U.S.,David Sobreira,David Sobreira,democracy on sale   corporate   campaign finance in brazil and the us,david sobreira
3f58fb13a92407a7ee54d7c15052f963,Tax Considerations for the Potential U.S. Annexation of Greenland,Libin Zhang,Libin Zhang; Institutional Investors,tax considerations for the potential us annexation of greenland,libin zhang
7fab3de03d0710c5aa0dc0bacc3c3152,Team Incentives and Lower Ability Workers: A Real-Effort Experiment,Richard B. Freeman,Richard B. Freeman; Xiaofei Pan; Xiaolan Yang; Maoliang Ye,team incentives and lower ability workers a realeffort experiment,richard freeman
561d36d1814e7f787396ec656b9a0a4c,"Temperature, Time with Colleagues, and Work Organization",Sam Cosaert,Sam Cosaert; Adrian Nieto Castro; Konstantinos Tatsiramos,temperature time with colleagues and work organization,sam cosaert
07aba16a103eaecdecc1be68f1aabec3,Temporal dynamics of firm-specific climate change exposure: A text-based approach,Sirimon Treepongkaruna,Sirimon Treepongkaruna; Suntharee Lhaopadchan; Pornsit Jiraporn,temporal dynamics of firmspecific climate change exposure a textbased approach,sirimon treepongkaruna
4ac3a76f4fdc7774215b0f2281b3cee6,The < Corporate <  Sustainability Due Diligence Directive (CSDDD): An Analysis of the Potential Economic and Legal Impacts,Audinga Baltrunaite,Audinga Baltrunaite; Romualdo Canini; Francesca Chiarelli; Enrica Consigliere; Piera Coppotelli; Federico Fornasari; Tommaso Loizzo; Sauro Mocetti; Chiara Muraca; Raffaele Parrella; Federico Schimperna; Enrico Sette; Institutional Investors,the  corporate   sustainability due diligence directive csddd an analysis of the potential economic and legal impacts,audinga baltrunaite
